Subject,Level,Year,Total,A1,A2,B1,B2,B3,C1,C2,C3,D1,D2,D3,E,F,NG
IRISH,A,2016,20097,5.4,8.3,11.3,13,13.2,12.6,11.6,9.9,7.7,4.1,2.2,0.5,0.1,0
IRISH,B,2016,3521,2,3.9,6.8,9.8,10.7,13.2,12.4,12.2,10.1,7,5.6,5,1.2,0.1
IRISH,G,2016,23593,0.5,2.1,5.5,9.8,13.3,14.6,14.6,12.2,10,7.1,6,3.5,0.7,0.1
ENGLISH,A,2016,36576,3.2,5.9,4.9,9,12.3,12.8,14.5,13.8,11.4,6.8,4.3,1.1,0.1,0
ENGLISH,G,2016,17132,2.1,5.5,4.2,9,15.9,10.3,14.1,14.5,6.5,6.6,7.2,2.9,1,0.2
MATHEMATICS,A,2016,15198,5.6,5.5,7,8.7,10.2,11.2,11.9,11.3,9.8,7.6,6.7,3.8,0.7,0
MATHEMATICS,B,2016,6478,2.4,4.4,7,11.2,13.6,13.6,13,11.1,7.9,5.6,5.2,4,1,0.1
MATHEMATICS,G,2016,32549,2.1,4.7,7.5,10.2,11.1,11.6,11.3,9.9,8.6,6.6,7.3,6.8,2.1,0.2
HISTORY,A,2016,8752,6.2,6.9,9.2,11.2,12.1,12.4,10.9,9.2,7.4,5.1,5.7,3,0.4,0.1
HISTORY,G,2016,3629,5.4,8,7.3,10.4,13.2,11,11.4,10.4,7.1,6,6.1,2.9,0.8,0.1
GEOGRAPHY,A,2016,18669,2.5,6,5.5,10.6,12.8,13.6,14,11.3,10.3,6.5,4.9,1.9,0.2,0
GEOGRAPHY,G,2016,5447,1.9,3.1,6.3,9,12.2,14,14.7,13.9,8.7,7,4.9,3.4,0.7,0
LATIN,A,2016,104,16.3,14.4,20.2,12.5,12.5,11.5,5.8,1,1.9,2.9,0,0,1,0
ANCIENTGREEK,A,2016,14,7.1,14.3,14.3,21.4,14.3,0,14.3,0,7.1,0,7.1,0,0,0
CLASSICALSTUDIES,A,2016,551,4.5,7.1,5.6,9.4,10.9,7.6,12.2,9.6,7.6,6.7,9.6,5.6,3.3,0.2
CLASSICALSTUDIES,G,2016,106,0,0.9,0,2.8,12.3,4.7,8.5,15.1,9.4,7.5,11.3,17,6.6,3.8
FRENCH,A,2016,15252,5.9,7.1,8.5,9.4,10.2,10.8,11.4,10.1,9.8,7.2,6.4,2.9,0.2,0
FRENCH,G,2016,10505,0.1,1,3.2,6.4,10.6,13.2,14.3,13.8,12.2,9.1,8.7,6.2,1.3,0.1
GERMAN,A,2016,5245,6.6,6.4,8.3,8.9,9.8,10.3,11,10.1,10.1,7.8,6.6,3.9,0.2,0
GERMAN,G,2016,2370,0.3,1.9,6.2,9.6,12.6,14,13.7,13.6,8.8,5.9,6.8,4.6,1.7,0.2
SPANISH,A,2016,4405,9.2,8,9.6,9.2,9.8,10.1,11.1,8.6,9.3,7.3,5,2.6,0.1,0
SPANISH,G,2016,2174,0.7,2.5,5.5,10.2,13.2,15.9,12,10.3,9.1,7.4,6.8,5.1,1.3,0
ITALIAN,A,2016,366,10.1,13.7,12.8,7.7,7.7,10.7,9,6.8,10.1,5.5,3.8,1.9,0.3,0
ITALIAN,G,2016,146,0.7,4.1,0.7,6.8,7.5,12.3,16.4,19.2,10.3,9.6,8.2,3.4,0.7,0
ART,A,2016,7789,1.3,3.9,8.1,11.7,14.2,14.2,14.8,12.6,9.4,5.3,3.5,0.8,0.1,0.1
ART,G,2016,1965,0.4,1.5,3.5,6.9,10.3,15.5,15.5,17.1,10.5,7.7,5.3,2.6,1.9,1.2
APPLIEDMATHEMATICS,A,2016,1917,9.3,11.4,7.9,11.8,12.4,9.7,9.3,6.7,6.6,4.5,4.7,3.7,1.7,0.4
APPLIEDMATHEMATICS,G,2016,172,27.9,9.9,7,7.6,9.3,5.2,8.1,4.7,5.2,3.5,5.8,4.1,1.2,0.6
PHYSICS,A,2016,6003,10.4,10.2,8.2,8,8.5,8,8.5,8.2,5.8,6.5,7.6,7,2.8,0.4
PHYSICS,G,2016,1750,5.5,7.8,8.1,11.7,12,8.4,9.4,8.6,5.8,5.3,6.5,5.5,3.9,1.3
CHEMISTRY,A,2016,7658,10.7,9.1,9.7,9.5,8.8,7.8,7.6,8.1,6.7,6.2,6.7,6.5,2.2,0.3
CHEMISTRY,G,2016,1431,2.7,5,8.9,9.9,10.1,10.6,9.2,9.1,7.1,6.8,7.5,8,4.2,0.8
PHYSICS&CHEMISTRY,A,2016,439,8.7,9.8,5.9,8.4,8.2,7.3,8.2,9.6,6.6,6.2,8,9.1,3.4,0.7
PHYSICS&CHEMISTRY,G,2016,140,2.9,2.1,2.1,6.4,10,5.7,11.4,7.9,6.4,14.3,10,10,7.9,2.9
AGRICULTURALSCIENCE,A,2016,6269,4.4,6.4,8.1,9.6,10.2,9.7,10.5,10.9,9,7.2,7.5,5.5,0.9,0
AGRICULTURALSCIENCE,G,2016,1624,0,0.1,0.7,2,4.9,8.9,10.3,13.6,13.5,14.7,13.1,13.4,4.2,0.5
BIOLOGY,A,2016,25211,5.7,8.1,7.9,9.1,9.9,9.1,9.4,9.3,7.4,7.1,8.2,6.8,1.8,0.2
BIOLOGY,G,2016,8890,0.3,1.1,2.5,5.5,10.4,11,15.3,16.4,11.8,9.3,8.8,6.1,1.5,0.1
AGRICULTURALECONOMICS,A,2016,104,2.9,4.8,3.8,4.8,13.5,11.5,12.5,16.3,9.6,6.7,7.7,4.8,0,1
AGRICULTURALECONOMICS,G,2016,15,0,0,6.7,26.7,6.7,6.7,33.3,13.3,6.7,0,0,0,0,0
ENGINEERING,A,2016,4489,4.2,7.5,9.7,12.1,12.6,13.2,11,10.5,7.3,5.1,4.3,2.2,0.2,0
ENGINEERING,G,2016,890,0.1,1.7,3.5,7.9,9.9,11.5,12.7,12.1,10.8,9.9,8.8,8.7,2.2,0.3
CONSTRUCTIONSTUDIES,A,2016,7087,1.8,5.2,8.8,11.2,13.3,14.4,13.4,11.2,8.3,5.3,4.3,2.5,0.4,0
CONSTRUCTIONSTUDIES,G,2016,1466,0,0.4,2,4.2,8,11.3,12.5,14.1,12.7,10.8,11.3,8.6,3.8,0.4
ACCOUNTING,A,2016,4867,6.1,13.8,14,11.9,10.1,8,6.8,6.4,5.4,4.4,5.4,4.8,2.2,0.6
ACCOUNTING,G,2016,1759,7.3,9.2,9.4,10.3,9.8,6.4,7.7,6.9,4.9,4.9,7.2,8.1,5.3,2.5
BUSINESS,A,2016,12560,3.9,7,8.1,10.2,10.8,9.6,9.9,10.6,7.3,6.7,8.2,6,1.5,0.1
BUSINESS,G,2016,4893,3,7.8,6,11.9,14.4,10.2,12.4,8.9,8.5,5.5,5.6,3.8,1.5,0.2
ECONOMICS,A,2016,4633,2.8,8.4,7,11.1,12.9,9.8,10.1,11,6.9,6.8,8,4,1.1,0.1
ECONOMICS,G,2016,1080,2.6,8.7,9.6,10.4,14,13,11,7.9,6.5,5.5,5.4,4.1,1.3,0.2
JAPANESE,A,2016,245,11.8,11,11,12.2,6.5,6.5,9.8,8.2,6.1,4.5,6.5,4.9,0.8,0
JAPANESE,G,2016,81,0,2.5,6.2,8.6,16,7.4,6.2,8.6,11.1,6.2,8.6,9.9,7.4,1.2
ARABIC,A,2016,110,10.9,17.3,10.9,15.5,14.5,3.6,5.5,6.4,3.6,3.6,3.6,3.6,0,0.9
TECHNOLOGY,A,2016,1244,3.9,7.8,12,12.4,13.3,11.7,9.6,8.8,6.7,4.3,4.7,3.9,0.7,0.2
TECHNOLOGY,G,2016,171,4.7,4.7,7,11.1,10.5,11.7,14,11.1,2.9,7.6,4.1,6.4,3.5,0.6
MUSIC,A,2016,6046,4,11.8,17.6,18.7,14.7,13.1,9.3,5.3,2.7,1.6,0.9,0.4,0,0
MUSIC,G,2016,551,0.9,2.5,7.6,9.6,16.5,14,13.4,12.3,7.8,4.2,6,3.6,1.1,0.4
HOMEECONOMICSS&S,A,2016,8755,2,6.9,9.5,13.4,15.1,13.8,11.8,10.5,7.4,4.7,3.4,1.5,0.1,0
HOMEECONOMICSS&S,G,2016,2887,0.4,1.9,5.2,10.1,12.7,14.7,14.5,10.7,9.7,6.8,6.4,5.3,1.6,0
RUSSIAN,A,2016,333,68.2,14.1,4.5,3.9,2.7,2.4,1.2,1.2,0.6,0.3,0.6,0.3,0,0
RELIGIOUSEDUCATION,A,2016,1143,3.1,10,8,13.6,14.4,7.5,10.8,12.9,5.3,5,5.4,3.1,0.8,0.1
RELIGIOUSEDUCATION,G,2016,177,0.6,6.8,1.1,7.3,12.4,2.8,9.6,19.2,5.1,6.2,12.4,10.2,5.1,1.1
DESIGN&COMMUNICATION,A,2016,4350,5.7,9,9.8,12,13.7,11.4,11.3,10.1,7.5,4.6,3,1.4,0.4,0.1
DESIGN&COMMUNICATION,G,2016,1173,3.2,7.7,9.4,12.2,11,12.1,10.1,7.2,6.9,6,4.8,5.4,3.7,0.4
